Simplified Chinese,Pinyin,Meaning,Audio
认识,rènshì,"to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition",[sound:认识.mp3]
认真,rènzhēn,"conscientious, earnest, serious, to take seriously, to take to heart",[sound:认真.mp3]
日,rì,"sun, day, date, day of the month",[sound:日.mp3]
日期,rìqī,"date, CL:個|个[ge4]",[sound:日期.mp3]
肉,ròu,"meat, flesh, pulp (of a fruit), (coll.) (of a fruit) squashy, (of a person) flabby, irresolute",[sound:肉.mp3]
三,sān,"three, 3",[sound:三.mp3]
山,shān,"mountain, hill, anything that resembles a mountain, CL:座[zuo4], bundled straw in which silkworms spin cocoons, gable",[sound:山.mp3]
商场,shāngcháng,"shopping mall, shopping center, department store, emporium, CL:家[jia1], the business world",[sound:商场.mp3]
商店,shāngdiàn,"store, shop, CL:家[jia1],個|个[ge4]",[sound:商店.mp3]
上,shàng,"on top, upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university)",[sound:上.mp3]
上班,shàngbān,"to go to work, to be on duty, to start work, to go to the office",[sound:上班.mp3]
上边,shàngbiān,"the top, above, overhead, upwards, the top margin, above-mentioned, those higher up",[sound:上边.mp3]
上车,shàngchē,"to get on or into (a bus, train, car etc)",[sound:上车.mp3]
上次,shàngcì,last time,[sound:上次.mp3]
上课,shàngkè,"to go to class, to attend class, to go to teach a class",[sound:上课.mp3]
上网,shàngwǎng,"to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net",[sound:上网.mp3]
上午,shàngwǔ,"morning, CL:個|个[ge4]",[sound:上午.mp3]
上学,shàngxué,"to go to school, to attend school",[sound:上学.mp3]
少,shǎo,young,[sound:少.mp3]
谁,shúi,"who, also pr. [shui2]",[sound:谁.mp3]
身上,shēnshàng,"on the body, at hand, among",[sound:身上.mp3]
身体,shēntǐ,"the body, one's health, CL:具[ju4],個|个[ge4], in person",[sound:身体.mp3]
什么,shíyāo,"what?, who?, something, anything",[sound:什么.mp3]
生病,shēngbìng,to fall ill,[sound:生病.mp3]
生气,shēngqì,"to get angry, to take offense, angry, vitality, liveliness",[sound:生气.mp3]
生日,shēngrì,"birthday, CL:個|个[ge4]",[sound:生日.mp3]
十,shí,"ten, 10",[sound:十.mp3]
时候,shíhòu,"time, length of time, moment, period",[sound:时候.mp3]
时间,shíjiān,"time, period, CL:段[duan4]",[sound:时间.mp3]
事,shì,"matter, thing, item, work, affair, CL:件[jian4],樁|桩[zhuang1],回[hui2]",[sound:事.mp3]
试,shì,"to test, to try, experiment, examination, test",[sound:试.mp3]
是,shì,"variant of 是[shi4], (used in given names)",[sound:是.mp3]
是不是,shìbùshì,"is or isn't, yes or no, whether or not",[sound:是不是.mp3]
手,shǒu,"hand, (formal) to hold, person engaged in certain types of work, person skilled in certain types of work, personal(ly), convenient, classifier for skill, CL:雙|双[shuang1],隻|只[zhi1]",[sound:手.mp3]
手机,shǒujī,"cell phone, mobile phone, CL:部[bu4],支[zhi1]",[sound:手机.mp3]
书,shū,"book, letter, document, CL:本[ben3],冊|册[ce4],部[bu4], to write",[sound:书.mp3]
书包,shūbāo,"schoolbag, satchel, CL:個|个[ge4],隻|只[zhi1]",[sound:书包.mp3]
书店,shūdiàn,"bookstore, CL:家[jia1]",[sound:书店.mp3]
树,shù,"tree, CL:棵[ke1], to cultivate, to set up",[sound:树.mp3]
水,shǔi,"water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes",[sound:水.mp3]
水果,shǔiguǒ,"fruit, CL:個|个[ge4]",[sound:水果.mp3]
睡,shùi,"to sleep, to lie down",[sound:睡.mp3]
睡觉,shùijué,"to go to bed, to sleep",[sound:睡觉.mp3]
说,shuō,"to speak, to say, to explain, to scold, to tell off, a theory (usually in compounds such as 日心说 heliocentric theory)",[sound:说.mp3]
说话,shuōhuà,"to speak, to say, to talk, to gossip, to tell stories, talk, word",[sound:说话.mp3]
四,sì,"four, 4",[sound:四.mp3]
送,sòng,"to deliver, to carry, to give (as a present), to present (with), to see off, to send",[sound:送.mp3]
岁,sùi,"classifier for years (of age), year, year (of crop harvests)",[sound:岁.mp3]
他,tā,"he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another",[sound:他.mp3]
他们,tāmen,they,[sound:他们.mp3]
她,tā,she,[sound:她.mp3]
她们,tāmen,"they, them (for females)",[sound:她们.mp3]
太,tài,"highest, greatest, too (much), very, extremely",[sound:太.mp3]
天,tiān,"day, sky, heaven",[sound:天.mp3]
天气,tiānqì,weather,[sound:天气.mp3]
听,tīng,"(literary pronunciation, still advocated in Taiwan) to rule, to sentence, to allow",[sound:听.mp3]
听到,tīngdào,to hear,[sound:听到.mp3]
听见,tīngjiàn,to hear,[sound:听见.mp3]
听写,tīngxiě,"dictate, dictation, CL:次[ci4]",[sound:听写.mp3]
同学,tóngxué,"to study at the same school, fellow student, classmate, CL:位[wei4],個|个[ge4]",[sound:同学.mp3]
图书馆,túshūguǎn,"library, CL:家[jia1],個|个[ge4]",[sound:图书馆.mp3]
外,wài,"outside, in addition, foreign, external",[sound:外.mp3]
外边,wàibiān,"outside, outer surface, abroad, place other than one's home",[sound:外边.mp3]
外国,wàiguó,"foreign (country), CL:個|个[ge4]",[sound:外国.mp3]
外语,wàiyǔ,"foreign language, CL:門|门[men2]",[sound:外语.mp3]
玩儿,wánér,"to play, to have fun, to hang out",[sound:玩儿.mp3]
晚,wǎn,"evening, night, late",[sound:晚.mp3]
晚饭,wǎnfàn,"evening meal, dinner, supper, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]",[sound:晚饭.mp3]
晚上,wǎnshàng,"evening, night, CL:個|个[ge4], in the evening",[sound:晚上.mp3]
网上,wǎngshàng,online,[sound:网上.mp3]
网友,wǎngyǒu,"online friend, Internet user",[sound:网友.mp3]
忘,wàng,"to forget, to overlook, to neglect",[sound:忘.mp3]
忘记,wàngjì,to forget,[sound:忘记.mp3]
问,wèn,to ask,[sound:问.mp3]
我,wǒ,"I, me, my",[sound:我.mp3]
我们,wǒmen,"we, us, ourselves, our",[sound:我们.mp3]
五,wǔ,"five, 5",[sound:五.mp3]
午饭,wǔfàn,"lunch, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]",[sound:午饭.mp3]
西,xī,west,[sound:西.mp3]
西边,xībiān,"west, west side, western part, to the west of",[sound:西边.mp3]
洗,xǐ,"to wash, to bathe, to develop (photo)",[sound:洗.mp3]
洗手间,xǐshǒujiān,"toilet, lavatory, washroom",[sound:洗手间.mp3]
喜欢,xǐhuān,"to like, to be fond of",[sound:喜欢.mp3]
下,xià,"down, downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down, to arrive at (a decision, conclusion etc), measure word to show the frequency of an action",[sound:下.mp3]
下班,xiàbān,"to finish work, to get off work",[sound:下班.mp3]
下边,xiàbiān,"under, the underside, below",[sound:下边.mp3]
下车,xiàchē,"to get off or out of (a bus, train, car etc)",[sound:下车.mp3]
下次,xiàcì,next time,[sound:下次.mp3]
下课,xiàkè,"to finish class, to get out of class",[sound:下课.mp3]
下午,xiàwǔ,"afternoon, CL:個|个[ge4], p.m.",[sound:下午.mp3]
下雨,xiàyǔ,to rain,[sound:下雨.mp3]
先,xiān,"early, prior, former, in advance, first",[sound:先.mp3]
先生,xiānshēng,"teacher, husband, doctor (dialect), CL:位[wei4]",[sound:先生.mp3]
现在,xiànzài,"now, at present, at the moment, modern, current, nowadays",[sound:现在.mp3]
想,xiǎng,"to think, to believe, to suppose, to wish, to want, to miss (feel wistful about the absence of sb or sth)",[sound:想.mp3]
小,xiǎo,"small, tiny, few, young",[sound:小.mp3]
小孩儿,xiǎoháiér,erhua variant of 小孩[xiao3 hai2],[sound:小孩儿.mp3]
小姐,xiǎojiě,"young lady, miss, (slang) prostitute, CL:個|个[ge4],位[wei4]",[sound:小姐.mp3]
小朋友,xiǎopéngyǒu,"child, CL:個|个[ge4]",[sound:小朋友.mp3]
小时,xiǎoshí,"hour, CL:個|个[ge4]",[sound:小时.mp3]
小学,xiǎoxué,"elementary school, primary school, CL:個|个[ge4]",[sound:小学.mp3]
小学生,xiǎoxuéshēng,"primary school student, schoolchild, CL:個|个[ge4],名[ming2]",[sound:小学生.mp3]
笑,xiào,"laugh, smile, CL:個|个[ge4]",[sound:笑.mp3]
写,xiě,to write,[sound:写.mp3]
谢谢,xièxiè,"to thank, thanks, thank you",[sound:谢谢.mp3]
新,xīn,"new, newly, meso- (chemistry)",[sound:新.mp3]
新年,xīnnián,"New Year, CL:個|个[ge4]",[sound:新年.mp3]
星期,xīngqī,"week, CL:個|个[ge4], day of the week, Sunday",[sound:星期.mp3]
星期日,xīngqīrì,"Sunday, CL:個|个[ge4]",[sound:星期日.mp3]
星期天,xīngqītiān,"Sunday, CL:個|个[ge4]",[sound:星期天.mp3]
行,xíng,"to walk, to go, to travel, a visit, temporary, makeshift, current, in circulation, to do, to perform, capable, competent, effective, all right, OK!, will do, behavior, conduct, Taiwan pr. [xing4] for the behavior-conduct sense",[sound:行.mp3]
休息,xīuxī,"rest, to rest",[sound:休息.mp3]
学,xué,"to learn, to study, to imitate, science, -ology",[sound:学.mp3]
学生,xuéshēng,"student, schoolchild",[sound:学生.mp3]
学习,xuéxí,"to learn, to study",[sound:学习.mp3]
学校,xuéxiào,"school, CL:所[suo3]",[sound:学校.mp3]
学院,xuéyuàn,"college, educational institute, school, faculty, CL:所[suo3]",[sound:学院.mp3]
要,yào,"important, vital, to want, to ask for, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably, if",[sound:要.mp3]
爷爷,yéyé,"(coll.) father's father, paternal grandfather, CL:個|个[ge4]",[sound:爷爷.mp3]
也,yě,"also, too, (in Classical Chinese) final particle implying affirmation",[sound:也.mp3]
页,yè,"page, leaf",[sound:页.mp3]
一,yī,"one, 1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit",[sound:一.mp3]
衣服,yīfú,"clothes, CL:件[jian4],套[tao4]",[sound:衣服.mp3]
医生,yìshēng,"doctor, CL:個|个[ge4],位[wei4],名[ming2]",[sound:医生.mp3]
医院,yìyuàn,"hospital, CL:所[suo3],家[jia1],座[zuo4]",[sound:医院.mp3]
一半,yībàn,half,[sound:一半.mp3]
一会儿,yīhùiér,"a moment, a while, in a moment, now...now..., also pr. [yi1 hui3 r5]",[sound:一会儿.mp3]
一块儿,yīkuàiér,erhua variant of 一塊|一块[yi1 kuai4],[sound:一块儿.mp3]
一下儿,yīxiàér,erhua variant of 一下[yi1 xia4],[sound:一下儿.mp3]
一样,yīyáng,"same, like, equal to, the same as, just like",[sound:一样.mp3]
一边,yībiān,"one side, either side, on the one hand, on the other hand, doing while",[sound:一边.mp3]
一点儿,yīdiǎnér,erhua variant of 一點|一点[yi1 dian3],[sound:一点儿.mp3]
一起,yīqǐ,"in the same place, together, with, altogether (in total)",[sound:一起.mp3]
一些,yīxiē,"some, a few, a little",[sound:一些.mp3]
用,yòng,"to use, to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore",[sound:用.mp3]
有,yǒu,"to have, there is, there are, to exist, to be",[sound:有.mp3]
有的,yǒude,"(there are) some (who are...), some (exist)",[sound:有的.mp3]
有名,yǒumíng,"famous, well-known",[sound:有名.mp3]
有时候,yǒushíhòu,sometimes,[sound:有时候.mp3]
有一些,yoǔyīxīe,some,[sound:有一些.mp3]
有用,yǒuyòng,useful,[sound:有用.mp3]
右,yòu,"right (-hand), the Right (politics), west (old)",[sound:右.mp3]
右边,yòubiān,"right side, right, to the right",[sound:右边.mp3]
雨,yǔ,"to rain, (of rain, snow etc) to fall, to precipitate, to wet",[sound:雨.mp3]
元,yuán,"currency unit (esp. Chinese yuan), first, original, primary, fundamental, constituent, part, era (of a reign), (math.) argument, variable, (Tw) (geology) eon",[sound:元.mp3]
远,yuǎn,to distance oneself from (classical),[sound:远.mp3]
月,yuè,"moon, month, monthly, CL:個|个[ge4],輪|轮[lun2]",[sound:月.mp3]
再,zài,"again, once more, re-, second, another, then (after sth, and not until then)",[sound:再.mp3]
再见,zàijiàn,"goodbye, see you again later",[sound:再见.mp3]
在,zài,"(located) at, (to be) in, to exist, in the middle of doing sth, (indicating an action in progress)",[sound:在.mp3]
在家,zàijiā,at home,[sound:在家.mp3]
早,zǎo,"early, morning, Good morning!, long ago, prematurely",[sound:早.mp3]
早饭,zǎofàn,"breakfast, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]",[sound:早饭.mp3]
早上,zǎoshàng,"early morning, CL:個|个[ge4]",[sound:早上.mp3]
怎么,zěnyāo,variant of 怎麼|怎么[zen3 me5],[sound:怎么.mp3]
站,zhàn,"station, to stand, to halt, to stop, branch of a company or organization, website",[sound:站.mp3]
找,zhǎo,"to try to find, to look for, to call on sb, to find, to seek, to return, to give change",[sound:找.mp3]
找到,zhǎodào,to find,[sound:找到.mp3]
这,zhè,"this, these, (commonly pr. [zhei4] before a classifier, esp. in Beijing)",[sound:这.mp3]
这边,zhèbiān,"this side, here",[sound:这边.mp3]
这里,zhèlǐ,here,[sound:这里.mp3]
这儿,zhèér,here,[sound:这儿.mp3]
这些,zhèxiē,these,[sound:这些.mp3]
着,zháo,"to wear (clothes), to contact, to use, to apply",[sound:着.mp3]
真,zhēn,"really, truly, indeed, real, true, genuine",[sound:真.mp3]
真的,zhēnde,really,[sound:真的.mp3]
正,zhèng,"straight, upright, proper, main, principal, to correct, to rectify, exactly, just (at that time), right (in that place), (math.) positive",[sound:正.mp3]
正在,zhèngzài,"just at (that time), right in (that place), right in the middle of (doing sth)",[sound:正在.mp3]
知道,zhīdào,"to know, to become aware of, also pr. [zhi1 dao5]",[sound:知道.mp3]
知识,zhīshì,"knowledge, CL:門|门[men2], intellectual",[sound:知识.mp3]
中,zhōng,"to hit (the mark), to be hit by, to suffer, to win (a prize, a lottery)",[sound:中.mp3]
中国,zhōngguó,China,[sound:中国.mp3]
中间,zhōngjiān,"between, intermediate, mid, middle",[sound:中间.mp3]
中文,zhōngwén,Chinese language,[sound:中文.mp3]
中午,zhōngwǔ,"noon, midday, CL:個|个[ge4]",[sound:中午.mp3]
中学,zhōngxué,"middle school, CL:個|个[ge4]",[sound:中学.mp3]
中学生,zhōngxuéshēng,"middle-school student, high school student",[sound:中学生.mp3]
重,zhòng,"heavy, serious, to attach importance to",[sound:重.mp3]
重要,zhòngyào,"important, significant, major",[sound:重要.mp3]
住,zhù,"to live, to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)",[sound:住.mp3]
准备,zhǔnbèi,"preparation, to prepare, to intend, to be about to, reserve (fund)",[sound:准备.mp3]
桌子,zhuōzǐ,"table, desk, CL:張|张[zhang1],套[tao4]",[sound:桌子.mp3]
字,zì,"letter, symbol, character, word, CL:個|个[ge4], courtesy or style name traditionally given to males aged 20 in dynastic China",[sound:字.mp3]
子,zǐ,(noun suffix),[sound:子.mp3]
走,zǒu,"to walk, to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走[che4 zou3]), to change (shape, form, meaning)",[sound:走.mp3]
走路,zǒulù,"to walk, to go on foot",[sound:走路.mp3]
最,zùi,"most, the most, -est (superlative suffix)",[sound:最.mp3]
最好,zùihǎo,"best, (you) had better (do what we suggest)",[sound:最好.mp3]
最后,zùihòu,"final, last, finally, ultimate",[sound:最后.mp3]
昨天,zuótiān,yesterday,[sound:昨天.mp3]
左,zuǒ,"left, the Left (politics), east, unorthodox, queer, wrong, differing, opposite, variant of 佐[zuo3]",[sound:左.mp3]
左边,zuǒbiān,"left, the left side, to the left of",[sound:左边.mp3]
坐,zuò,"to sit, to take a seat, to take (a bus, airplane etc), to bear fruit, variant of 座[zuo4]",[sound:坐.mp3]
坐下,zuòxià,to sit down,[sound:坐下.mp3]
做,zuò,"to do, to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance",[sound:做.mp3]
