Simplified Chinese,Pinyin,Meaning,Audio
地上,dìshàng,"on the ground, on the floor",[sound:地上.mp3]
地图,dìtú,"map, CL:張|张[zhang1],本[ben3]",[sound:地图.mp3]
弟弟,dìdì,"younger brother, CL:個|个[ge4],位[wei4]",[sound:弟弟.mp3]
第,dì,"(prefix indicating ordinal number, e.g. first, number two etc), order, (old) rank in the imperial examinations, mansion, (literary) but, just",[sound:第.mp3]
点,diǎn,"point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[geng1], dot stroke in Chinese characters, classifier for items",[sound:点.mp3]
电,diàn,"electric, electricity, electrical",[sound:电.mp3]
电话,diànhuà,"telephone, CL:部[bu4], phone call, CL:通[tong1], phone number",[sound:电话.mp3]
电脑,diànnǎo,"computer, CL:臺|台[tai2]",[sound:电脑.mp3]
电视,diànshì,"television, TV, CL:臺|台[tai2],個|个[ge4]",[sound:电视.mp3]
电视机,diànshìjī,"television set, CL:臺|台[tai2]",[sound:电视机.mp3]
电影,diànyǐng,"movie, film, CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",[sound:电影.mp3]
电影院,diànyǐngyuàn,"cinema, movie theater, CL:家[jia1],座[zuo4]",[sound:电影院.mp3]
东,dōng,"east, host (i.e. sitting on east side of guest), landlord",[sound:东.mp3]
东边,dōngbiān,"east, east side, eastern part, to the east of",[sound:东边.mp3]
东西,dōngxī,"thing, stuff, person, CL:個|个[ge4],件[jian4]",[sound:东西.mp3]
动,dòng,"(of sth) to move, to set in movement, to displace, to touch, to make use of, to stir (emotions), to alter, abbr. for 動詞|动词[dong4 ci2], verb",[sound:动.mp3]
动作,dòngzuò,"movement, motion, action, CL:個|个[ge4]",[sound:动作.mp3]
都,dū,"capital city, metropolis",[sound:都.mp3]
读,dú,"to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",[sound:读.mp3]
读书,dúshū,"to read a book, to study, to attend school",[sound:读书.mp3]
对,dùi,"right, correct, couple, pair, towards, at, for, to face, opposite, to treat (sb a certain way), to match together, to adjust, to fit, to suit, to answer, to reply, classifier: couple",[sound:对.mp3]
对不起,dùibùqǐ,"unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)",[sound:对不起.mp3]
多,duō,"many, much, often, a lot of, numerous, more, in excess, how (to what extent), multi-, Taiwan pr. [duo2] when it means ""how""",[sound:多.mp3]
多少,duōshǎo,"how much, how many, which (number), as much as",[sound:多少.mp3]
饿,è,"to be hungry, hungry, to starve (sb)",[sound:饿.mp3]
儿子,érzǐ,son,[sound:儿子.mp3]
二,èr,"two, 2, (Beijing dialect) stupid",[sound:二.mp3]
饭,fàn,"food, cuisine, cooked rice, meal, CL:碗[wan3],頓|顿[dun4]",[sound:饭.mp3]
饭店,fàndiàn,"restaurant, hotel, CL:家[jia1],個|个[ge4]",[sound:饭店.mp3]
房间,fángjiān,"room, CL:間|间[jian1],個|个[ge4]",[sound:房间.mp3]
房子,fángzǐ,"house, building (single- or two-story), apartment, room, CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4]",[sound:房子.mp3]
放,fàng,"to put, to place, to release, to free, to let go, to let out, to set off (fireworks)",[sound:放.mp3]
放假,fàngjiǎ,to have a holiday or vacation,[sound:放假.mp3]
放学,fàngxué,to dismiss students at the end of the school day,[sound:放学.mp3]
飞,fēi,to fly,[sound:飞.mp3]
飞机,fēijī,"airplane, CL:架[jia4]",[sound:飞机.mp3]
非常,fēicháng,"very, very much, unusual, extraordinary",[sound:非常.mp3]
分,fēn,"part, share, ingredient, component",[sound:分.mp3]
风,fēng,"wind, news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]",[sound:风.mp3]
"干 first tone",gān,"tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar)",[sound:干1.mp3]
干净,gānjìng,"clean, neat",[sound:干净.mp3]
"干 fourth tone",gàn,to do,[sound:干2.mp3]
干什么,gānshíyāo,"what are you doing?, what's he up to?",[sound:干什么.mp3]
高,gāo,"high, tall, above average, loud, your (honorific)",[sound:高.mp3]
高兴,gāoxīng,"happy, glad, willing (to do sth), in a cheerful mood",[sound:高兴.mp3]
告诉,gàosù,"to tell, to inform, to let know",[sound:告诉.mp3]
哥哥,gēgē,"older brother, CL:個|个[ge4],位[wei4]",[sound:哥哥.mp3]
歌,gē,variant of 歌[ge1],[sound:歌.mp3]
个,gè,variant of 個|个[ge4],[sound:个.mp3]
给,gěi,"to supply, to provide",[sound:给.mp3]
跟,gēn,"heel, to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)",[sound:跟.mp3]
工人,gōngrén,"worker, CL:個|个[ge4],名[ming2]",[sound:工人.mp3]
工作,gōngzuò,"to work, (of a machine) to operate, job, work, task, CL:個|个[ge4],份[fen4],項|项[xiang4]",[sound:工作.mp3]
关,guān,"mountain pass, to close, to shut, to turn off, to concern, to involve",[sound:关.mp3]
关上,guānshàng,"to close (a door), to turn off (light, electrical equipment etc)",[sound:关上.mp3]
贵,gùi,"expensive, noble, precious, (honorific) your",[sound:贵.mp3]
国,guó,"country, nation, state, national, CL:個|个[ge4]",[sound:国.mp3]
国家,guójiā,"country, nation, state, CL:個|个[ge4]",[sound:国家.mp3]
国外,guówài,"abroad, external (affairs), overseas, foreign",[sound:国外.mp3]
过,guò,(experienced action marker),[sound:过.mp3]
"还 adverb",hái,"still, yet",[sound:还1.mp3]
还是,huánshì,"or, still, nevertheless, had better",[sound:还是.mp3]
还有,huányǒu,"furthermore, in addition, still, also",[sound:还有.mp3]
孩子,háizǐ,child,[sound:孩子.mp3]
汉语,hànyǔ,"Chinese language, CL:門|门[men2]",[sound:汉语.mp3]
汉字,hànzì,"Chinese character, CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự",[sound:汉字.mp3]
